"Id" "Survey" "Country" "Aa" "Ab" "Ac" "Ad" "Ae" "Af" "ST01" "SU02" "D03" "ST04" "SU05" "D06" "D07" "SU08" "ST09" "SU10" "D11" "ST12" "SU13" "D14" "D15" "SU16" "ST17" "SU18" "D19" "ST20" "SU21" "D22" "D23" "SU24" "ST25" "SU26" "D27" "ST28" "SU29" "D30" "D31" "SU32" "Ca" "Cb" "Cc" "Cd" "Ce" "Cf" "Cg" "Ch" "Da" "Db" "Dc" "Dd" "De" "Df" "Dg" "Dh" "Di" "Dj" "Age" "Gender" "Years" "Courses" "Hours" "Degree" "Lar" "Lat" "d_sm" "d_ri" "d_ue" "su_lp" "su_um" "su_sb" "st_os" "st_tm" "Deep" "Surf" "Stra" "Deep_adj" "Surf_adj" "Stra_adj" "Su_Ti" "D_Su" "StatConf" "Value" "Interest" "MathConf" "Affect" "Attitude" "FSVdeep" "FSVstra" "FSVsurf" "FSOdeep" "FSOstra" "FSOsurf" "Points" "Fails"
"53" 75 2014 6 2 1 1 1 1 1 3 5 5 5 2 3 4 3 2 1 4 2 1 4 5 2 3 1 5 5 4 5 2 1 4 2 3 1 3 5 5 4 3 4 3 5 5 5 5 3 1 5 4 3 2 1 2 1 1 5 27 1 7 2 18 1 4 3 17 18 15 9 10 10 12 13 50 29 25 4.16666650772095 2.41666674613953 3.125 16 17 2 10 6 4 3 25 0.718715667724609 -0.40343514084816 -1.15436804294586 0.821700215339661 -0.363678514957428 -1.18364489078522 18 1
"54" 34 2014 6 4 1 2 2 3 2 4 4 4 2 2 4 3 2 4 1 3 2 4 4 4 2 4 3 4 4 1 3 3 4 4 5 3 2 3 4 4 5 1 5 4 2 3 3 3 3 2 4 4 4 4 1 3 3 3 4 25 1 5 2 16 1 8 6 14 14 15 13 10 13 16 10 43 36 26 3.58333325386047 3 3.25 9 15 3 8 8 7 6 32 -0.397838085889816 -0.092227317392826 0.250747859477997 -0.433870494365692 -0.116030141711235 0.290338158607483 19 1
"55" 114 2014 6 4 1 1 1 1 2 4 2 3 2 4 2 4 4 2 1 3 2 4 4 4 5 4 1 3 1 4 1 2 4 1 5 3 1 3 3 2 4 1 4 4 2 4 1 3 4 3 2 2 5 2 3 2 5 4 4 23 1 4 3 8 1 6 4 12 12 10 9 15 17 11 6 34 41 17 2.83333325386047 3.41666674613953 2.125 11 12 6 6 4 9 7 32 -1.2912769317627 -1.04821753501892 1.03774178028107 -1.48170185089111 -1.14114427566528 1.15541338920593 22 0
"56" 144 2014 6 3 2 2 1 1 1 4 4 5 2 2 4 4 2 4 1 4 1 2 4 4 2 4 2 5 2 3 4 2 4 4 5 3 1 3 4 5 5 4 5 4 5 5 3 5 4 1 4 3 4 4 1 1 1 2 5 23 2 5 4 12 1 6 4 17 16 15 12 10 13 16 6 48 35 22 4 2.91666674613953 2.75 18 17 2 9 7 6 2 26 0.655145943164825 -0.76067852973938 0.406623989343643 0.550458908081055 -0.730904757976532 0.349682450294495 25 1
"57" 264 2014 6 3 2 1 1 2 2 3 4 4 2 2 3 4 4 1 3 4 3 2 4 3 4 4 2 2 1 3 2 2 4 3 5 3 2 2 2 2 4 2 4 4 4 3 3 4 4 2 3 2 3 3 1 3 2 2 2 23 2 5 4 8 2 5 6 13 12 10 14 9 16 11 8 35 39 19 2.91666674613953 3.25 2.375 13 15 3 5 5 5 5 23 -0.99134624004364 -0.907873630523682 0.561628878116608 -1.10967075824738 -0.960225760936737 0.644168794155121 21 0
"58" 317 2014 6 4 1 2 1 1 1 4 4 4 4 2 2 5 2 4 2 2 2 4 5 1 2 4 5 4 1 2 5 2 2 4 5 2 2 4 2 2 5 4 5 4 1 5 4 4 4 4 5 5 4 5 1 4 3 2 5 45 2 NA NA 0 2 7 3 12 17 7 16 12 11 16 9 36 39 25 3 3.25 3.125 14 17 5 10 10 6 7 38 -0.689200818538666 -0.147757828235626 0.155682742595673 -0.753770649433136 -0.193064957857132 0.266066253185272 9 3
"59" 15 2014 6 3 1 4 2 1 1 5 1 5 5 2 4 4 1 3 1 5 4 3 5 4 4 3 1 4 4 2 4 3 4 5 4 3 3 1 3 5 4 1 5 5 3 4 3 4 3 4 4 2 3 2 1 2 2 4 4 22 2 2 2 22 1 9 3 17 16 16 7 8 13 16 16 49 28 32 4.08333349227905 2.33333325386047 4 11 17 5 8 4 7 4 28 0.695076525211334 0.903765320777893 -0.117453545331955 0.78276115655899 0.934685349464417 -0.2292799949646 28 0
"60" 16 2014 6 2 1 2 1 1 1 5 2 4 2 4 3 5 2 4 1 3 5 3 4 2 5 3 1 4 4 2 1 2 5 4 5 2 5 4 1 4 5 5 5 4 5 5 2 3 5 2 2 2 5 3 2 2 5 5 5 23 2 1 6 0 1 5 3 13 11 11 9 13 17 16 16 35 39 32 2.91666674613953 3.25 4 20 14 4 7 5 10 7 33 -1.00901699066162 1.43714904785156 1.22893011569977 -1.03235840797424 1.38595521450043 1.29199934005737 25 2
"61" 266 2014 6 4 2 3 3 1 3 2 2 4 1 1 4 3 4 2 1 3 4 3 4 4 3 2 1 2 1 1 4 2 3 5 4 3 1 3 5 4 4 3 5 3 4 4 4 5 2 4 5 5 5 5 4 5 5 5 5 21 1 3 13 2 1 10 6 12 16 14 8 8 14 11 7 42 30 18 3.5 2.5 2.25 13 17 8 10 10 10 10 48 -0.753371477127075 -1.25817453861237 -1.06310522556305 -0.721017301082611 -1.27026689052582 -0.990243136882782 29 0
"62" 85 2014 6 3 1 1 1 1 1 4 2 5 3 1 5 5 1 3 1 3 3 2 4 4 2 3 1 3 3 1 5 3 2 4 3 5 3 1 5 5 4 1 4 3 3 4 2 3 2 4 3 4 5 4 3 4 4 5 4 21 1 4 4 8 1 5 3 16 19 17 7 5 9 14 12 52 21 26 4.33333349227905 1.75 3.25 10 12 7 7 8 10 8 40 0.71998119354248 0.145332679152489 -1.65968477725983 0.896885573863983 0.212454423308373 -1.73529922962189 33 0
"63" 132 2014 6 3 3 2 2 1 1 4 2 5 3 2 4 4 3 4 1 4 4 1 5 4 3 3 2 4 4 2 5 4 3 4 2 3 3 2 4 5 4 3 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 21 2 4 5 8 2 7 5 16 18 17 7 7 13 15 14 51 27 29 4.25 2.25 3.625 15 17 8 8 8 8 8 40 0.76980197429657 0.481368571519852 -0.750246226787567 0.881414413452148 0.541334569454193 -0.836134672164917 33 0
"64" 252 2014 6 3 1 1 1 1 1 4 1 5 2 2 2 4 4 5 1 4 4 1 5 2 2 4 1 2 3 2 3 4 2 5 4 3 2 1 5 2 4 2 4 4 2 4 2 5 2 5 5 5 4 5 4 5 5 4 5 21 2 4 6 10 2 5 3 14 17 10 7 6 12 18 11 41 25 29 3.41666674613953 2.08333325386047 3.625 10 15 9 10 10 8 10 47 -0.427129060029984 0.296516209840775 -1.20806527137756 -0.250916391611099 0.288340091705322 -1.14916288852692 25 0
"65" 318 2014 6 2 1 1 1 1 2 4 4 5 2 2 2 2 2 2 2 4 2 2 2 2 4 4 2 4 1 1 4 2 4 4 5 4 1 2 2 4 4 2 5 5 4 5 2 5 5 2 3 2 4 2 1 2 2 2 3 26 2 NA NA 6 1 4 4 17 10 10 13 7 14 14 6 37 34 20 3.08333325386047 2.83333325386047 2.5 16 17 3 6 4 6 4 23 -0.791949450969696 -0.89137989282608 0.433312654495239 -0.887922763824463 -0.945140838623047 0.510251343250275 18 0
"66" 319 2014 6 1 2 1 1 1 1 4 2 5 2 4 5 5 2 2 1 5 1 4 4 4 3 2 1 4 2 2 4 5 2 1 4 4 1 4 5 5 5 2 5 3 2 5 5 5 2 2 5 5 2 4 1 4 2 1 5 25 2 NA NA 24 1 3 4 18 18 19 8 14 12 9 6 55 34 15 4.58333349227905 2.83333325386047 1.875 11 18 3 10 9 3 6 31 1.496173620224 -1.27298498153687 0.128011181950569 1.38019299507141 -1.19492053985596 7.3660354246e-05 22 0
"67" 320 2014 6 4 2 2 1 2 1 2 2 4 1 2 3 4 2 1 1 2 2 2 4 4 2 2 2 4 2 4 4 1 2 4 4 2 2 2 5 4 4 2 4 4 2 4 4 4 4 2 4 4 2 2 1 2 4 2 4 26 2 NA NA 12 1 7 5 12 17 12 9 10 10 9 7 41 29 16 3.41666674613953 2.41666674613953 2 12 16 3 8 6 4 6 27 -0.8391153216362 -1.2695244550705 -1.41649913787842 -0.769458711147308 -1.26980721950531 -1.30286514759064 17 0
"68" 245 2014 6 4 1 2 2 2 2 3 1 4 2 2 2 4 4 3 2 4 1 2 3 3 2 2 1 4 1 1 4 3 2 2 5 3 1 1 3 4 4 3 4 3 3 4 3 5 4 3 4 4 5 4 5 3 5 4 4 21 1 3 3 4 2 8 5 15 14 12 9 6 12 10 5 41 27 15 3.41666674613953 2.25 1.875 14 15 8 8 8 9 8 41 -0.498449683189392 -1.36514914035797 -0.968711018562317 -0.472285658121109 -1.37967538833618 -0.891138911247253 25 0
"69" 233 2014 6 5 5 5 5 5 5 5 1 4 4 2 4 4 2 2 2 4 2 2 4 4 4 4 2 4 1 1 4 2 4 2 5 2 1 1 2 4 2 4 5 5 5 5 4 4 5 2 5 5 2 5 1 5 2 2 5 22 2 1 6 8 2 15 15 14 14 14 10 6 12 13 8 42 28 21 3.5 2.33333325386047 2.625 19 18 3 10 10 4 7 34 -0.166273027658463 -0.788316607475281 -0.100018255412579 -0.208690151572227 -0.812598407268524 -0.117191955447197 0 3
"70" 194 2014 6 3 2 2 1 1 1 4 2 5 4 4 4 2 2 4 1 4 5 4 4 3 2 4 1 4 3 4 3 2 4 4 3 2 4 3 4 4 4 1 5 4 1 4 4 4 4 2 4 5 3 5 1 4 3 3 4 23 2 2 4 20 2 6 4 15 13 13 7 15 12 16 16 41 34 32 3.41666674613953 2.83333325386047 4 10 17 3 8 10 6 7 34 -0.459697306156158 1.16421222686768 0.289653033018112 -0.382284849882126 1.14153945446014 0.335000663995743 28 0
"71" 138 2014 6 3 2 1 1 1 2 4 1 4 2 2 4 4 2 3 1 3 4 2 4 3 2 2 1 5 2 3 3 2 2 4 4 4 2 3 3 4 4 3 5 4 3 5 2 4 2 3 4 2 1 3 1 2 3 2 4 22 2 1 5 12 1 5 5 16 14 13 7 10 10 13 10 43 27 23 3.58333325386047 2.25 2.875 13 15 4 8 5 3 5 25 -0.329995959997177 -0.11360489577055 -0.962625324726105 -0.221093997359276 -0.118372611701488 -0.910643696784973 22 0
"72" 321 2014 6 1 2 2 1 1 1 1 1 1 4 2 1 2 2 5 3 2 5 1 2 2 3 3 1 1 4 4 2 2 2 5 1 1 4 1 2 1 1 1 1 3 2 2 4 3 1 2 1 1 1 1 5 2 5 2 1 22 2 NA NA 30 1 4 4 5 8 6 6 8 8 14 17 19 22 31 1.58333337306976 1.83333337306976 3.875 6 11 7 2 2 3 7 21 -4.1120343208313 1.28991723060608 -2.08103513717651 -3.74032950401306 1.09155178070068 -1.66156685352325 26 0
"73" 322 2014 6 2 1 1 1 1 1 2 4 5 2 2 3 4 4 2 2 4 4 3 4 2 3 4 1 3 1 2 3 2 4 4 4 2 1 2 4 4 4 3 1 2 3 1 3 1 3 1 1 3 1 2 1 1 1 1 2 22 2 NA NA 12 1 4 3 14 15 11 11 9 15 12 8 40 35 20 3.33333325386047 2.91666674613953 2.5 10 7 2 3 5 2 2 14 -0.410866141319275 -0.987991213798523 0.153192698955536 -0.483036249876022 -1.00570321083069 0.185981228947639 11 3
"74" 163 2014 6 1 2 3 2 1 1 4 4 5 2 2 4 5 2 2 3 5 2 2 5 4 2 3 3 5 2 4 4 4 2 5 5 3 2 3 4 4 3 2 4 5 2 2 1 5 4 2 4 3 2 1 1 2 1 1 2 23 2 1 4 18 1 6 4 18 18 16 15 11 9 14 8 52 35 22 4.33333349227905 2.91666674613953 2.75 10 15 3 6 4 3 3 19 1.04495823383331 -0.682877004146576 -0.233926385641098 1.02201068401337 -0.608563959598541 -0.326967716217041 29 0
"75" 117 2014 6 2 1 2 1 1 2 5 1 4 4 4 4 5 2 4 2 4 5 1 5 4 2 4 1 4 4 2 4 5 2 5 2 4 5 2 5 5 4 2 5 4 2 4 4 5 4 4 4 4 1 4 3 3 5 4 5 22 1 1 5 20 1 5 4 16 19 18 6 9 10 18 18 53 25 36 4.41666650772095 2.08333325386047 4.5 12 18 7 9 8 5 8 37 0.82453590631485 1.73177480697632 -0.850053250789642 1.02802109718323 1.80098497867584 -0.926952242851257 22 0
"76" 60 2014 6 2 5 5 5 5 5 4 2 5 3 2 3 5 1 4 2 5 4 3 5 5 2 5 2 4 4 3 4 4 2 2 5 5 2 3 5 5 5 3 5 4 5 5 3 4 4 4 5 5 2 5 2 4 5 4 5 25 1 1 5 20 1 12 15 19 19 17 11 11 10 15 13 55 32 28 4.58333349227905 2.66666674613953 3.5 17 16 6 10 10 6 9 41 1.40153300762176 0.330163925886154 -0.146828606724739 1.43158733844757 0.399081319570541 -0.273036360740662 0 3
"77" 323 2014 6 3 1 1 1 1 1 4 1 5 4 3 5 5 1 4 1 5 3 1 5 5 2 3 1 5 4 4 5 4 4 4 4 4 1 1 5 5 5 1 5 3 1 4 3 5 3 1 4 3 5 3 4 2 4 2 4 23 1 NA NA 20 1 5 3 19 20 19 7 9 12 15 12 58 28 27 4.83333349227905 2.33333325386047 3.375 9 16 5 8 6 7 6 32 1.83272433280945 0.116519272327423 -0.159602031111717 1.84180545806885 0.200782611966133 -0.352564215660095 21 0
"78" 324 2014 6 4 1 2 1 1 1 4 2 4 2 1 3 2 4 2 1 5 3 3 2 3 2 3 2 3 4 2 3 4 2 1 4 3 2 3 1 4 3 2 5 5 3 4 2 4 3 4 3 4 2 3 2 3 2 2 3 24 1 NA NA 30 1 7 3 15 8 14 9 9 11 10 11 37 29 21 3.08333325386047 2.41666674613953 2.625 12 16 6 6 7 4 5 28 -1.05628776550293 -0.437288820743561 -0.87098217010498 -0.940716445446014 -0.488771766424179 -0.744303703308105 28 0
"79" 325 2014 6 5 2 3 1 1 1 2 5 4 4 3 2 2 1 5 3 4 5 2 3 3 1 4 4 4 5 2 2 2 1 5 5 4 3 2 2 4 4 1 5 4 4 4 3 3 3 4 4 5 5 3 4 4 4 3 5 22 2 NA NA 14 1 9 4 16 9 11 17 9 7 16 17 36 33 33 3 2.75 4.125 12 15 8 9 8 8 8 41 -1.25281250476837 1.19785296916962 -0.563154697418213 -1.06246089935303 1.12734591960907 -0.388210862874985 33 0
"80" 199 2014 6 2 1 1 1 1 1 4 4 4 3 4 5 4 2 2 1 4 4 3 5 4 4 4 2 4 1 3 4 3 4 1 5 4 2 2 3 5 5 5 5 3 3 5 2 4 5 2 5 4 1 4 1 1 1 1 5 23 2 3 5 28 1 4 3 16 16 17 12 12 15 11 10 49 39 21 4.08333349227905 3.25 2.625 18 14 3 10 8 2 2 25 0.776840686798096 -0.41255784034729 0.988430321216583 0.607566058635712 -0.384480267763138 0.901859223842621 16 0
"81" 326 2014 6 5 2 1 1 1 1 4 1 5 2 1 3 5 1 2 1 5 2 1 5 2 3 2 1 2 4 1 4 5 3 1 5 4 1 1 5 4 2 1 5 4 3 3 4 5 4 3 4 3 3 1 1 3 5 2 3 22 1 NA NA 30 1 7 4 16 19 14 8 4 9 9 9 49 21 18 4.08333349227905 1.75 2.25 11 18 4 7 4 5 8 28 0.636120736598969 -0.971592664718628 -1.47291266918182 0.738758206367493 -0.928016841411591 -1.56717777252197 31 0
"82" 92 2014 6 2 5 4 4 5 4 4 1 4 4 2 4 4 2 2 2 4 4 4 3 4 4 3 1 4 2 1 3 3 2 1 5 4 2 2 4 4 5 4 4 2 5 5 3 5 4 3 4 3 4 3 4 3 5 4 5 20 1 3 4 16 2 10 14 16 14 15 9 9 13 10 12 45 31 22 3.75 2.58333325386047 2.75 18 14 7 9 6 8 8 38 -0.083293356001377 -0.242377460002899 -0.221401587128639 -0.065424099564552 -0.256025820970535 -0.211659356951714 22 0
"83" 327 2014 6 3 3 3 2 1 3 4 5 4 2 3 3 3 2 4 4 4 3 3 3 2 2 2 4 4 4 2 2 2 5 4 4 4 1 2 3 3 4 3 4 4 4 4 2 3 5 3 4 3 4 3 2 2 3 4 3 22 1 NA NA 2 2 8 7 16 11 10 17 10 13 14 10 37 40 24 3.08333325386047 3.33333325386047 3 16 13 5 7 6 8 5 31 -0.874064683914185 -0.235634192824364 0.832141101360321 -0.968195080757141 -0.308771103620529 0.904725551605225 31 0
"84" 328 2014 6 4 1 1 1 1 1 3 3 5 1 3 5 5 4 2 3 5 1 3 5 4 1 3 1 5 1 2 5 5 2 1 3 3 1 4 5 5 5 4 5 4 1 2 5 5 4 3 3 5 4 5 1 3 3 3 5 21 1 NA NA 6 1 6 3 18 20 19 10 12 12 9 4 57 34 13 4.75 2.83333325386047 1.625 11 19 4 8 10 7 6 35 1.76209771633148 -1.74191868305206 -0.072847701609135 1.62868857383728 -1.62924122810364 -0.20897088944912 23 0
"85" 270 2014 6 5 1 2 2 1 1 3 2 5 3 2 4 5 4 2 1 5 2 2 4 5 3 2 4 4 1 2 4 3 2 1 4 4 1 2 4 4 2 1 5 4 4 2 5 5 3 3 4 5 3 4 3 4 2 3 5 22 2 3 3 8 1 9 3 18 17 16 11 8 11 8 7 51 30 15 4.25 2.5 1.875 10 19 6 9 9 6 6 36 0.907107532024384 -1.49787962436676 -0.74897575378418 0.888352274894714 -1.44090569019318 -0.842039346694946 26 0
"86" 164 2014 6 3 1 1 2 1 1 5 2 5 3 3 5 5 2 4 1 4 3 3 4 3 2 3 1 5 3 3 3 3 2 3 4 3 3 2 5 5 4 4 5 3 3 4 2 5 3 2 3 3 3 2 2 2 4 3 2 23 2 3 4 0 1 6 3 17 17 16 8 11 10 15 12 50 29 27 4.16666650772095 2.41666674613953 3.375 14 15 4 5 5 6 6 26 0.722958028316498 0.362873911857605 -0.493002772331238 0.814578533172607 0.412029623985291 -0.55440491437912 12 0
"87" 219 2014 6 3 1 3 1 1 1 5 3 5 5 2 3 5 3 5 3 4 3 1 5 3 3 5 1 5 2 2 5 4 2 2 3 4 3 2 5 5 4 2 5 4 3 3 3 5 5 3 5 5 5 5 3 4 4 5 5 21 1 3 0 0 2 7 3 18 20 15 10 7 12 17 13 53 29 30 4.41666650772095 2.41666674613953 3.75 13 17 6 10 10 10 8 44 1.26938915252686 0.625902235507965 -0.215440452098846 1.31206095218658 0.688495457172394 -0.338423311710358 26 1
"88" 240 2014 6 4 2 2 1 1 2 2 4 4 2 2 5 4 1 2 2 4 2 2 2 4 1 2 4 4 2 1 4 4 4 4 5 4 1 1 2 5 4 2 5 2 2 1 4 4 4 4 4 5 5 5 4 5 4 5 4 22 1 3 4 8 2 7 5 16 12 18 15 6 10 10 7 46 31 17 3.83333325386047 2.58333325386047 2.125 9 15 8 8 10 10 9 45 0.010701498948038 -1.10203325748444 -0.350051462650299 -0.028614811599255 -1.09667491912842 -0.349815726280212 31 0
"89" 329 2014 6 3 2 2 1 1 1 4 2 5 2 3 2 4 2 3 4 4 2 2 4 3 2 4 4 4 1 2 2 2 4 1 5 4 2 1 2 4 5 4 4 4 5 4 3 3 2 2 4 2 4 2 3 2 5 4 4 29 1 NA NA 6 2 6 4 17 12 11 15 8 13 12 7 40 36 19 3.33333325386047 3 2.375 15 14 5 8 4 8 7 32 -0.142702624201775 -0.676694571971893 0.785394966602325 -0.269995868206024 -0.695327758789063 0.800042033195496 19 0
"90" 330 2014 6 2 1 2 1 1 1 3 2 4 2 3 3 3 2 2 2 3 1 1 4 4 3 3 1 4 1 1 3 3 3 1 5 3 1 1 3 4 4 4 5 3 5 4 3 5 5 1 4 3 1 3 1 1 1 1 4 26 2 NA NA 0 1 5 3 14 13 14 10 6 12 9 5 41 28 14 3.41666674613953 2.33333325386047 1.75 18 16 2 8 6 2 2 20 -0.519700586795807 -1.41954469680786 -0.435276836156845 -0.566378653049469 -1.44414436817169 -0.373674511909485 0 3
"91" 331 2014 6 3 2 2 1 1 2 3 2 4 3 3 2 3 2 4 1 4 2 2 4 2 1 4 2 4 2 2 2 2 2 1 1 4 3 2 4 3 4 2 5 3 4 5 3 4 4 4 4 5 5 5 2 4 2 3 5 29 2 NA NA 6 2 6 5 16 13 9 6 9 9 12 10 38 24 22 3.16666674613953 2 2.75 15 15 6 9 10 8 6 39 -0.766441345214844 -0.023636780679226 -0.936788499355316 -0.631270885467529 -0.055196594446898 -0.819768011569977 30 2
"92" 58 2014 6 2 2 1 1 1 1 5 1 4 2 4 2 4 2 4 4 4 2 4 4 2 2 3 1 4 4 5 2 4 4 4 5 2 1 4 4 2 5 5 2 4 4 5 2 2 5 2 4 4 2 4 1 2 1 1 4 21 2 1 5 10 1 4 4 14 14 10 11 17 13 16 9 38 41 25 3.16666674613953 3.41666674613953 3.125 19 10 3 8 8 3 3 25 -0.673183619976044 -0.04426334798336 1.01668393611908 -0.779460847377777 -0.108692660927773 1.09366345405579 12 0
"93" 254 2014 6 5 3 5 5 5 5 4 2 5 4 5 4 4 2 3 2 4 5 2 4 4 3 2 1 3 4 3 3 4 3 4 5 2 2 2 4 5 4 4 4 3 3 4 2 4 3 3 4 4 2 4 2 3 5 2 4 28 1 1 7 12 1 15 13 14 15 17 10 12 12 13 15 46 34 28 3.83333325386047 2.83333325386047 3.5 14 13 5 8 8 4 8 33 0.221042990684509 0.430644810199738 0.032055404037237 0.25728166103363 0.433072835206985 0.006776828784496 17 0
"94" 167 2014 6 2 1 2 3 2 1 2 4 5 4 4 3 5 2 1 5 5 1 2 4 5 2 2 2 4 1 4 4 5 4 1 5 4 1 3 2 4 4 3 5 4 4 2 3 4 3 2 5 5 3 4 1 5 2 3 5 23 1 1 5 2 1 7 4 18 15 17 16 13 12 6 7 50 41 13 4.16666650772095 3.41666674613953 1.625 12 16 3 10 9 6 7 35 1.09141337871551 -1.42792749404907 1.01151943206787 0.853843927383423 -1.39051222801208 0.899705827236176 0 3
"95" 139 2014 6 2 4 3 5 5 5 4 1 5 3 2 5 4 2 5 2 5 2 1 5 4 2 3 1 4 1 3 3 3 3 1 5 4 2 1 4 5 4 2 5 4 4 5 4 4 5 2 4 5 3 4 1 3 5 1 5 21 2 1 6 14 1 10 14 18 16 17 9 7 11 13 8 51 27 21 4.25 2.25 2.625 16 17 3 9 9 4 8 33 1.03319811820984 -0.395503014326096 -0.339568167924881 1.05399680137634 -0.341490805149078 -0.449217021465302 18 0
"96" 121 2014 6 3 2 2 1 1 1 4 2 5 4 4 4 4 2 2 2 4 4 3 5 4 4 4 1 4 2 2 3 2 2 4 4 3 3 2 4 4 5 3 5 4 4 5 2 4 5 2 4 4 3 2 1 4 2 4 4 30 2 1 4 26 1 6 4 16 16 14 9 11 13 14 13 46 33 27 3.83333325386047 2.75 3.375 17 15 3 8 6 7 6 30 0.339440196752548 0.273314774036407 0.120333142578602 0.351569503545761 0.296049147844315 0.095716260373592 19 0
"97" 67 2014 6 2 2 1 1 1 1 4 4 5 2 3 2 4 3 1 4 5 2 4 4 2 4 3 2 5 1 5 4 2 4 4 5 4 1 4 2 5 5 3 5 5 4 5 4 5 3 1 5 4 4 4 1 3 1 2 4 21 2 1 6 16 1 4 4 19 14 11 15 16 16 12 6 44 47 18 3.66666674613953 3.91666674613953 2.25 15 19 2 9 8 6 4 29 0.459331333637238 -1.07802021503449 1.69802749156952 0.182451620697975 -1.07257962226868 1.65088486671448 21 0
"98" 6 2014 6 3 1 2 1 1 1 4 3 5 3 3 4 4 2 2 1 4 3 2 4 4 2 3 2 2 4 3 2 4 2 3 4 4 2 2 5 4 2 2 4 4 3 4 4 4 3 3 3 4 4 3 1 4 3 4 4 23 1 1 5 6 1 6 3 15 15 16 10 10 8 12 12 46 28 24 3.83333325386047 2.33333325386047 3 12 16 4 7 7 8 7 33 0.066045746207237 -0.19845475256443 -1.03834450244904 0.185486823320389 -0.188793316483498 -1.04744839668274 24 0
"99" 155 2014 6 3 5 5 5 5 5 4 1 4 3 4 2 4 1 4 2 4 4 1 4 4 3 4 1 4 4 4 3 4 4 5 4 4 4 3 4 5 5 4 4 3 4 4 2 4 4 3 4 4 4 4 1 3 2 4 4 21 2 1 5 22 1 13 15 16 15 15 8 12 13 17 15 46 33 32 3.83333325386047 2.75 4 16 13 4 8 8 8 5 33 0.035858899354935 1.23418831825256 0.350590825080872 0.080669417977333 1.24044632911682 0.339458435773849 28 0
"100" 27 2014 6 3 4 4 4 5 4 4 3 4 2 4 4 5 1 4 2 4 4 4 5 2 2 4 1 2 4 3 4 4 2 4 4 4 2 2 4 4 5 4 4 4 2 4 2 2 4 3 4 3 4 4 2 3 4 3 5 21 2 1 3 22 1 11 13 14 18 14 10 13 10 16 12 46 33 28 3.83333325386047 2.75 3.5 14 12 5 9 7 7 7 35 0.2879239320755 0.449515521526337 -0.236877828836441 0.327249437570572 0.463524878025055 -0.240567460656166 17 0
"101" 332 2014 6 3 1 1 1 1 1 2 2 4 2 3 4 3 3 2 2 3 4 4 3 3 2 3 3 3 2 2 3 4 2 4 4 4 2 3 5 5 5 2 4 3 3 4 3 3 4 3 5 5 3 4 2 4 3 2 5 20 2 NA NA 24 2 5 3 14 14 16 11 12 12 11 10 44 35 21 3.66666674613953 2.91666674613953 2.625 13 13 5 10 9 5 7 36 -0.500775575637817 -0.485826283693314 -0.375158905982971 -0.493044674396515 -0.498406320810318 -0.297771751880646 18 0
"102" 213 2014 6 3 2 2 1 1 1 4 4 5 4 3 3 4 2 4 1 5 2 3 4 4 2 4 1 5 2 1 2 4 5 2 4 5 1 2 4 5 4 1 5 4 4 5 1 5 3 2 5 5 4 5 4 4 5 4 4 21 1 1 3 4 1 6 4 20 14 16 10 9 13 14 9 50 32 23 4.16666650772095 2.66666674613953 2.875 13 15 6 9 10 8 9 42 0.937229633331299 -0.316632091999054 0.763432502746582 0.836426138877869 -0.30189111828804 0.644394874572754 0 3
"103" 18 2014 6 1 1 2 1 1 1 4 2 5 2 2 4 4 2 2 1 4 2 2 4 4 1 2 1 4 2 2 5 4 2 4 4 4 2 2 5 5 4 2 4 4 3 5 2 5 4 2 4 4 5 4 2 3 5 4 4 22 1 1 4 14 1 4 3 17 18 17 8 8 9 12 8 52 25 20 4.33333349227905 2.08333325386047 2.5 14 15 4 8 8 9 8 37 0.773689091205597 -0.751676559448242 -1.34432053565979 0.866621375083923 -0.681224167346954 -1.39974534511566 17 0
"104" 103 2014 6 2 5 5 5 5 5 4 4 4 3 4 5 5 4 3 2 5 4 3 5 4 4 5 1 4 2 4 4 2 3 3 4 5 2 5 5 5 5 5 5 5 5 5 4 5 5 3 5 4 1 4 1 3 1 2 4 35 2 1 5 20 1 12 15 18 19 16 11 16 16 15 11 53 43 26 4.41666650772095 3.58333325386047 3.25 20 19 4 9 8 3 4 28 1.32274544239044 -0.031535092741251 1.22198951244354 1.15022194385529 0.025547627359629 1.09617459774017 0 3
"105" 333 2014 6 4 4 4 5 3 4 4 4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 4 4 4 4 2 4 5 3 4 4 5 5 5 4 3 4 3 4 4 3 4 4 5 5 5 5 5 1 5 1 5 5 21 1 NA NA 22 2 13 11 15 16 14 13 16 15 15 15 45 44 30 3.75 3.66666674613953 3.75 15 14 6 10 10 10 6 42 -0.094011195003986 0.719272434711456 0.88868921995163 -0.172043472528458 0.715771317481995 0.888929843902588 23 0
